bin,n,selection_rate,mean_team_mean,arm,lambda
0,350,0.0,0.10350476732013768,above_5,0.733333
1,350,0.0,0.19122097523498524,above_5,0.733333
2,350,0.0,0.25175086321086954,above_5,0.733333
3,350,0.0,0.30433583190842883,above_5,0.733333
4,350,0.0,0.3512663391989104,above_5,0.733333
5,350,0.0,0.3944974864739718,above_5,0.733333
6,350,0.0,0.43537287468646946,above_5,0.733333
7,350,0.0,0.47641985633320305,above_5,0.733333
8,350,0.38,0.5170767458639451,above_5,0.733333
9,350,1.0,0.5595892402951274,above_5,0.733333
10,350,0.22,0.6025098518882964,above_5,0.733333
11,350,0.0,0.6476065531867018,above_5,0.733333
12,350,0.0,0.6983606605255779,above_5,0.733333
13,350,0.0,0.7512155960808571,above_5,0.733333
14,350,0.0,0.8132687224912052,above_5,0.733333
15,350,0.0,0.9023510768891361,above_5,0.733333
