vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,poolq_binning
0,1425,28,0.019649122807017545,-0.5110025278540065,-0.498112250941208,-0.6140188028352481,-0.4121086965587629,1,-0.6140188028352481,-0.4121086965587629,-0.5110025278540065,quantile
1,1425,37,0.025964912280701753,-0.3608764366077084,-0.359490214300958,-0.4119853807989358,-0.3177688442109783,2,-0.4119853807989358,-0.3177688442109783,-0.3608764366077084,quantile
2,1425,33,0.023157894736842106,-0.2797085589026043,-0.2786372963853261,-0.31767448958839245,-0.24653489947282373,3,-0.31767448958839245,-0.24653489947282373,-0.2797085589026043,quantile
3,1424,28,0.019662921348314606,-0.21835067038952952,-0.21755167006302828,-0.24652179642797564,-0.1925612169554923,4,-0.24652179642797564,-0.1925612169554923,-0.21835067038952952,quantile
4,1425,47,0.03298245614035088,-0.1678320056267833,-0.16793174555885845,-0.19255624768305227,-0.1437407530609671,5,-0.19255624768305227,-0.1437407530609671,-0.1678320056267833,quantile
5,1425,32,0.02245614035087719,-0.12159080221038578,-0.12167979757504747,-0.14372514973621792,-0.09864973761835989,6,-0.14372514973621792,-0.09864973761835989,-0.12159080221038578,quantile
6,1424,27,0.018960674157303372,-0.07735717437162452,-0.07687071452850958,-0.09864443293087612,-0.05660759604602001,7,-0.09864443293087612,-0.05660759604602001,-0.07735717437162452,quantile
7,1425,38,0.02666666666666667,-0.03562096859947345,-0.03562494371169014,-0.05660408272999045,-0.015099798379348451,8,-0.05660408272999045,-0.015099798379348451,-0.03562096859947345,quantile
8,1425,39,0.02736842105263158,0.0061522162026886795,0.006450722625389678,-0.015051457616555786,0.027831633755566135,9,-0.015051457616555786,0.027831633755566135,0.0061522162026886795,quantile
9,1424,28,0.019662921348314606,0.049357258689987894,0.04942404909888522,0.027881543055915142,0.07151828620123495,10,0.027881543055915142,0.07151828620123495,0.049357258689987894,quantile
10,1425,48,0.03368421052631579,0.09299699825724689,0.09226643784813808,0.07158015074459867,0.11623967711447149,11,0.07158015074459867,0.11623967711447149,0.09299699825724689,quantile
11,1425,39,0.02736842105263158,0.1423374988461534,0.14192283751976947,0.1162398019553161,0.16892429364227993,12,0.1162398019553161,0.16892429364227993,0.1423374988461534,quantile
12,1424,50,0.0351123595505618,0.19960725129937704,0.19913627764544553,0.16895108101283138,0.23169690287476122,13,0.16895108101283138,0.23169690287476122,0.19960725129937704,quantile
13,1425,43,0.030175438596491227,0.2684506693859422,0.2681402778409081,0.23170346508441994,0.3070275582760428,14,0.23170346508441994,0.3070275582760428,0.2684506693859422,quantile
14,1425,48,0.03368421052631579,0.35699449341363354,0.35378918574723034,0.30712236131149917,0.4165196584337455,15,0.30712236131149917,0.4165196584337455,0.35699449341363354,quantile
15,1424,50,0.0351123595505618,0.5272319995793684,0.5149631564093706,0.4166017949947657,0.6446750109667025,16,0.4166017949947657,0.6446750109667025,0.5272319995793684,quantile
