bin,n,selection_rate,mean_team_mean,arm,lambda
0,56,0.0,0.038910196606452854,crit,0.4
1,56,0.0,0.0737293977650277,crit,0.4
2,56,0.0,0.09727688495770796,crit,0.4
3,56,0.0,0.11768127106808676,crit,0.4
4,56,0.0,0.13329429793627587,crit,0.4
5,56,0.0,0.147524571408241,crit,0.4
6,56,0.0,0.1576426143251901,crit,0.4
7,56,0.0,0.16958751578335346,crit,0.4
8,56,0.0,0.18063368121392906,crit,0.4
9,56,0.0,0.19252809412080088,crit,0.4
10,56,0.0,0.2054791399900656,crit,0.4
11,56,0.0,0.2159612228978896,crit,0.4
12,56,0.0,0.2253575655109982,crit,0.4
13,56,0.0,0.2327147456841169,crit,0.4
14,56,0.0,0.2418276143311711,crit,0.4
15,56,0.0,0.2515109334821731,crit,0.4
16,56,0.0,0.2598484671067768,crit,0.4
17,56,0.0,0.2676244855706669,crit,0.4
18,56,0.0,0.27636036314477813,crit,0.4
19,56,0.0,0.28574787880777924,crit,0.4
20,56,0.0,0.2935594606551551,crit,0.4
21,56,0.0,0.30082929001254316,crit,0.4
22,56,0.0,0.3090330119342589,crit,0.4
23,56,0.0,0.3175551766924581,crit,0.4
24,56,0.0,0.32535985445923676,crit,0.4
25,56,0.0,0.3323276204041109,crit,0.4
26,56,0.0,0.3398797879771281,crit,0.4
27,56,0.0,0.3465659870464367,crit,0.4
28,56,0.0,0.35382621170302714,crit,0.4
29,56,0.0,0.3608018493300581,crit,0.4
30,56,0.0,0.36870331339246654,crit,0.4
31,56,0.0,0.3754235364039561,crit,0.4
32,56,0.0,0.3820516285868859,crit,0.4
33,56,0.0,0.38842924712523436,crit,0.4
34,56,0.0,0.3951545381840703,crit,0.4
35,56,0.0,0.40163550952090804,crit,0.4
36,56,0.0,0.40909737366902427,crit,0.4
37,56,0.0,0.4153570370018745,crit,0.4
38,56,0.0,0.4207270015813464,crit,0.4
39,56,0.0,0.4272493324231554,crit,0.4
40,56,0.0,0.4340983640891648,crit,0.4
41,56,0.0,0.4418900901603332,crit,0.4
42,56,0.0,0.4482500944794779,crit,0.4
43,56,0.0,0.4550758516270891,crit,0.4
44,56,0.0,0.4613469642958613,crit,0.4
45,56,0.0,0.46740526744578614,crit,0.4
46,56,0.0,0.4742406483022243,crit,0.4
47,56,0.0,0.48064899938760647,crit,0.4
48,56,0.0,0.48681569235119404,crit,0.4
49,56,0.0,0.4927265328400475,crit,0.4
50,56,0.0,0.49958487051708284,crit,0.4
51,56,0.0,0.5063675151315902,crit,0.4
52,56,0.0,0.5127082195550766,crit,0.4
53,56,0.0,0.5197278802680975,crit,0.4
54,56,0.0,0.5263314816909759,crit,0.4
55,56,0.0,0.5325592358389937,crit,0.4
56,56,0.0,0.539924300349136,crit,0.4
57,56,0.0,0.5472569246741037,crit,0.4
58,56,0.0,0.5538923758342025,crit,0.4
59,56,0.0,0.5606310913324098,crit,0.4
60,56,0.0,0.5677690726373418,crit,0.4
61,56,0.0,0.573514255147301,crit,0.4
62,56,0.0,0.5794300458304692,crit,0.4
63,56,0.0,0.5871516012916098,crit,0.4
64,56,0.0,0.5953381405711038,crit,0.4
65,56,0.0,0.6013263009426327,crit,0.4
66,56,0.0,0.6086998658369983,crit,0.4
67,56,0.0,0.6161579433775194,crit,0.4
68,56,0.0,0.6229353591878313,crit,0.4
69,56,0.0,0.6297161386260391,crit,0.4
70,56,0.0,0.6372741518925261,crit,0.4
71,56,0.0,0.6436711354310612,crit,0.4
72,56,0.0,0.651107448088695,crit,0.4
73,56,0.0,0.6602086136225437,crit,0.4
74,56,0.0,0.6691059775376005,crit,0.4
75,56,0.0,0.6779060301459803,crit,0.4
76,56,0.0,0.6860084028838872,crit,0.4
77,56,0.0,0.6936646771861064,crit,0.4
78,56,0.0,0.7016040880543011,crit,0.4
79,56,0.0,0.7084697167056808,crit,0.4
80,56,0.0,0.7164566628815977,crit,0.4
81,56,0.0,0.7261768289149698,crit,0.4
82,56,0.0,0.7346464829437419,crit,0.4
83,56,0.0,0.743218699843559,crit,0.4
84,56,0.0,0.7517439882719928,crit,0.4
85,56,0.0,0.7609586832439048,crit,0.4
86,56,0.0,0.7708976061610227,crit,0.4
87,56,0.017857142857142856,0.7791556949696515,crit,0.4
88,56,0.0,0.7906057663008885,crit,0.4
89,56,0.25,0.8000650416222941,crit,0.4
90,56,0.7321428571428571,0.8114607068351811,crit,0.4
91,56,1.0,0.8230990808304056,crit,0.4
92,56,1.0,0.8342602301704731,crit,0.4
93,56,1.0,0.8446451807124975,crit,0.4
94,56,1.0,0.8586328141787248,crit,0.4
95,56,1.0,0.8737020717647095,crit,0.4
96,56,1.0,0.8899141875765907,crit,0.4
97,56,1.0,0.9099601727417594,crit,0.4
98,56,1.0,0.9338825873801145,crit,0.4
99,56,1.0,0.9613399475973169,crit,0.4
