bin,n,selection_rate,mean_team_mean,arm,lambda
0,350,0.0,0.10350476732013768,below_farther,0.34
1,350,0.0,0.19122097523498524,below_farther,0.34
2,350,0.0,0.25175086321086954,below_farther,0.34
3,350,0.0,0.30433583190842883,below_farther,0.34
4,350,0.0,0.3512663391989104,below_farther,0.34
5,350,0.0,0.3944974864739718,below_farther,0.34
6,350,0.0,0.43537287468646946,below_farther,0.34
7,350,0.0,0.47641985633320305,below_farther,0.34
8,350,0.0,0.5170767458639451,below_farther,0.34
9,350,0.0,0.5595892402951274,below_farther,0.34
10,350,0.0,0.6025098518882964,below_farther,0.34
11,350,0.0,0.6476065531867018,below_farther,0.34
12,350,0.0,0.6983606605255779,below_farther,0.34
13,350,0.0,0.7512155960808571,below_farther,0.34
14,350,0.6,0.8132687224912052,below_farther,0.34
15,350,1.0,0.9023510768891361,below_farther,0.34
