bin,n,selection_rate,mean_team_mean,arm,lambda
0,56,0.0,0.038910196606452854,above_3d,0.49
1,56,0.0,0.0737293977650277,above_3d,0.49
2,56,0.0,0.09727688495770796,above_3d,0.49
3,56,0.0,0.11768127106808676,above_3d,0.49
4,56,0.0,0.13329429793627587,above_3d,0.49
5,56,0.0,0.147524571408241,above_3d,0.49
6,56,0.0,0.1576426143251901,above_3d,0.49
7,56,0.0,0.16958751578335346,above_3d,0.49
8,56,0.0,0.18063368121392906,above_3d,0.49
9,56,0.0,0.19252809412080088,above_3d,0.49
10,56,0.0,0.2054791399900656,above_3d,0.49
11,56,0.0,0.2159612228978896,above_3d,0.49
12,56,0.0,0.2253575655109982,above_3d,0.49
13,56,0.0,0.2327147456841169,above_3d,0.49
14,56,0.0,0.2418276143311711,above_3d,0.49
15,56,0.0,0.2515109334821731,above_3d,0.49
16,56,0.0,0.2598484671067768,above_3d,0.49
17,56,0.0,0.2676244855706669,above_3d,0.49
18,56,0.0,0.27636036314477813,above_3d,0.49
19,56,0.0,0.28574787880777924,above_3d,0.49
20,56,0.0,0.2935594606551551,above_3d,0.49
21,56,0.0,0.30082929001254316,above_3d,0.49
22,56,0.0,0.3090330119342589,above_3d,0.49
23,56,0.0,0.3175551766924581,above_3d,0.49
24,56,0.0,0.32535985445923676,above_3d,0.49
25,56,0.0,0.3323276204041109,above_3d,0.49
26,56,0.0,0.3398797879771281,above_3d,0.49
27,56,0.0,0.3465659870464367,above_3d,0.49
28,56,0.0,0.35382621170302714,above_3d,0.49
29,56,0.0,0.3608018493300581,above_3d,0.49
30,56,0.0,0.36870331339246654,above_3d,0.49
31,56,0.0,0.3754235364039561,above_3d,0.49
32,56,0.0,0.3820516285868859,above_3d,0.49
33,56,0.0,0.38842924712523436,above_3d,0.49
34,56,0.0,0.3951545381840703,above_3d,0.49
35,56,0.0,0.40163550952090804,above_3d,0.49
36,56,0.0,0.40909737366902427,above_3d,0.49
37,56,0.0,0.4153570370018745,above_3d,0.49
38,56,0.0,0.4207270015813464,above_3d,0.49
39,56,0.0,0.4272493324231554,above_3d,0.49
40,56,0.0,0.4340983640891648,above_3d,0.49
41,56,0.0,0.4418900901603332,above_3d,0.49
42,56,0.0,0.4482500944794779,above_3d,0.49
43,56,0.0,0.4550758516270891,above_3d,0.49
44,56,0.0,0.4613469642958613,above_3d,0.49
45,56,0.0,0.46740526744578614,above_3d,0.49
46,56,0.0,0.4742406483022243,above_3d,0.49
47,56,0.0,0.48064899938760647,above_3d,0.49
48,56,0.0,0.48681569235119404,above_3d,0.49
49,56,0.0,0.4927265328400475,above_3d,0.49
50,56,0.0,0.49958487051708284,above_3d,0.49
51,56,0.0,0.5063675151315902,above_3d,0.49
52,56,0.0,0.5127082195550766,above_3d,0.49
53,56,0.0,0.5197278802680975,above_3d,0.49
54,56,0.0,0.5263314816909759,above_3d,0.49
55,56,0.0,0.5325592358389937,above_3d,0.49
56,56,0.0,0.539924300349136,above_3d,0.49
57,56,0.0,0.5472569246741037,above_3d,0.49
58,56,0.0,0.5538923758342025,above_3d,0.49
59,56,0.0,0.5606310913324098,above_3d,0.49
60,56,0.0,0.5677690726373418,above_3d,0.49
61,56,0.0,0.573514255147301,above_3d,0.49
62,56,0.0,0.5794300458304692,above_3d,0.49
63,56,0.017857142857142856,0.5871516012916098,above_3d,0.49
64,56,0.17857142857142858,0.5953381405711038,above_3d,0.49
65,56,0.48214285714285715,0.6013263009426327,above_3d,0.49
66,56,0.8214285714285714,0.6086998658369983,above_3d,0.49
67,56,1.0,0.6161579433775194,above_3d,0.49
68,56,1.0,0.6229353591878313,above_3d,0.49
69,56,1.0,0.6297161386260391,above_3d,0.49
70,56,0.9642857142857143,0.6372741518925261,above_3d,0.49
71,56,0.9642857142857143,0.6436711354310612,above_3d,0.49
72,56,0.8392857142857143,0.651107448088695,above_3d,0.49
73,56,0.39285714285714285,0.6602086136225437,above_3d,0.49
74,56,0.017857142857142856,0.6691059775376005,above_3d,0.49
75,56,0.0,0.6779060301459803,above_3d,0.49
76,56,0.0,0.6860084028838872,above_3d,0.49
77,56,0.0,0.6936646771861064,above_3d,0.49
78,56,0.0,0.7016040880543011,above_3d,0.49
79,56,0.0,0.7084697167056808,above_3d,0.49
80,56,0.0,0.7164566628815977,above_3d,0.49
81,56,0.0,0.7261768289149698,above_3d,0.49
82,56,0.0,0.7346464829437419,above_3d,0.49
83,56,0.0,0.743218699843559,above_3d,0.49
84,56,0.0,0.7517439882719928,above_3d,0.49
85,56,0.0,0.7609586832439048,above_3d,0.49
86,56,0.0,0.7708976061610227,above_3d,0.49
87,56,0.0,0.7791556949696515,above_3d,0.49
88,56,0.0,0.7906057663008885,above_3d,0.49
89,56,0.0,0.8000650416222941,above_3d,0.49
90,56,0.0,0.8114607068351811,above_3d,0.49
91,56,0.0,0.8230990808304056,above_3d,0.49
92,56,0.0,0.8342602301704731,above_3d,0.49
93,56,0.0,0.8446451807124975,above_3d,0.49
94,56,0.0,0.8586328141787248,above_3d,0.49
95,56,0.0,0.8737020717647095,above_3d,0.49
96,56,0.0,0.8899141875765907,above_3d,0.49
97,56,0.32142857142857145,0.9099601727417594,above_3d,0.49
98,56,1.0,0.9338825873801145,above_3d,0.49
99,56,1.0,0.9613399475973169,above_3d,0.49
