RELDPTH	PARENTUIC	UIC	EDATE	SHORTDSCR	LONGDSCR	ORGTYPENAME	OFF	WO	ENL	CIV	AUTHTOT	CATCODE	SERVICE	GFMCOMPO	UTCAT	UTARMYCAT	UTSIZE	UTGFMSIZE	ID	PARENTID	FYDATE
1				WORLD	World	WORLD													72060755133860839	72060755133860839	20200930
2				US_GOVT	United States Government	Federal Government													72060755133858488	72060755133860839	20200930
3				EXEC_BR	Executive Branch	"Executive Component, Federal Government"													72060755133863255	72060755133858488	20200930
4				EOP	The Executive Office of the President	"Headquarters, Executive Component"													72060755133860798	72060755133863255	20200930
5				POTUS	President of the United States	Head of State													72060755133858484	72060755133860798	20200930
5				WHO	White House Office	Head of State Staff													72060755133860735	72060755133860798	20200930
5				ONDCP	The White House Office of National Drug Control Policy	"Independent Office, Executive Component"													72060755133860696	72060755133860798	20200930
4				DOD	Department of Defense	"Federal Ministry, Military"						EXCMIL	JOINT	WSOC	MILSVC		DEPT		72060755133863247	72060755133863255	20200930
5				OSD	Office of the Secretary of Defense	"Headquarters, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060755133858478	72060755133863247	20200930
6				IOFC	Immediate Office of the Secretary of Defense	"Office of the Chief Executive, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745778878	72060755133858478	20200930
6				ODSD	Office of the Deputy Secretary of Defense	"Office of the Deputy Executive, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060755133884638	72060755133858478	20200930
6				OUSD(AT&L)	"Office of the Under Secretary of Defense for Acquisition, Technology And Logistics"	"Principle Acquisition Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231397	72060755133858478	20200930
7		DDAAUE		OASD(NCB)	"Office of the Assistant Secretary of Defense for Nuclear, Chemical, and Biological Defense Programs"	"Nuclear/Chemical/Biological Defense Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231387	72060574745231397	20200930
