vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,7,1,0.142857,0.025679,0.513135,-0.688693,-0.533542,"[-0.6887, -0.5335)",-0.615052,-0.613094,coarse,False,True
1,2,47,7,0.148936,0.0740663,0.276859,-0.533542,-0.37839,"[-0.5335, -0.3784)",-0.433586,-0.424889,coarse,False,False
2,3,145,37,0.255172,0.191168,0.331815,-0.37839,-0.223238,"[-0.3784, -0.2232)",-0.291549,-0.288647,coarse,False,False
3,4,292,58,0.19863,0.156912,0.248175,-0.223238,-0.0680863,"[-0.2232, -0.06809)",-0.141431,-0.140207,coarse,False,False
4,5,394,95,0.241117,0.201508,0.285725,-0.0680863,0.0870654,"[-0.06809, 0.08707)",0.0106688,0.0124106,coarse,False,False
5,6,179,50,0.27933,0.218766,0.349166,0.0870654,0.153849,"[0.08707, 0.1538)",0.117271,0.117005,fine_tail,True,False
6,7,157,45,0.286624,0.221652,0.361789,0.153849,0.220633,"[0.1538, 0.2206)",0.187449,0.18873,fine_tail,True,False
7,8,139,29,0.208633,0.149374,0.283564,0.220633,0.287416,"[0.2206, 0.2874)",0.250212,0.254671,fine_tail,True,False
8,9,119,32,0.268908,0.197392,0.354877,0.287416,0.3542,"[0.2874, 0.3542)",0.319849,0.318649,fine_tail,True,False
9,10,86,22,0.255814,0.17543,0.357081,0.3542,0.420984,"[0.3542, 0.421)",0.38468,0.387874,fine_tail,True,False
10,11,87,16,0.183908,0.116494,0.278057,0.420984,0.487768,"[0.421, 0.4878)",0.446544,0.439729,fine_tail,True,False
11,12,59,14,0.237288,0.146945,0.359751,0.487768,0.554551,"[0.4878, 0.5546)",0.519504,0.520979,fine_tail,True,False
12,13,40,7,0.175,0.087453,0.319503,0.554551,0.621335,"[0.5546, 0.6213)",0.579144,0.57384,fine_tail,True,False
13,14,9,2,0.222222,0.0632238,0.547417,0.621335,0.688119,"[0.6213, 0.6881)",0.656579,0.644511,fine_tail,True,True
14,15,6,0,0,0,0.390343,0.688119,0.754902,"[0.6881, 0.7549)",0.745139,0.754902,fine_tail,True,True
